id,year,month,date,lease_commence_date,remaining_lease,remaining_lease_months
130,2017,1,2017-01,1988,70 years 08 months,840
131,2017,1,2017-01,1988,70 years 08 months,840
132,2017,1,2017-01,1986,68 years,816
133,2017,1,2017-01,1987,69 years 01 month,828
134,2017,1,2017-01,1987,69 years 11 months,828
135,2017,1,2017-01,1985,67 years 11 months,804
136,2017,1,2017-01,1986,68 years,816
137,2017,1,2017-01,1987,69 years 01 month,828
138,2017,1,2017-01,1992,74 years 06 months,888
139,2017,1,2017-01,2011,93 years 07 months,1116
140,2017,1,2017-01,1992,74 years 04 months,888
141,2017,1,2017-01,1987,69 years 06 months,828
142,2017,1,2017-01,1990,72 years 03 months,864
143,2017,1,2017-01,1986,68 years,816
144,2017,1,2017-01,1987,69 years 01 month,828
145,2017,1,2017-01,1985,67 years 02 months,804
146,2017,1,2017-01,2011,93 years 08 months,1116
147,2017,1,2017-01,1992,74 years 04 months,888
148,2017,1,2017-01,1986,68 years 10 months,816
149,2017,1,2017-01,1987,69 years 11 months,828
150,2017,1,2017-01,1987,69 years 06 months,828
151,2017,1,2017-01,1984,66 years 05 months,792
152,2017,1,2017-01,1987,69 years 06 months,828
153,2017,1,2017-01,1987,69 years 04 months,828
154,2017,1,2017-01,1984,66 years 11 months,792
155,2017,1,2017-01,1985,67 years 02 months,804
156,2017,1,2017-01,1985,67 years 05 months,804
157,2017,1,2017-01,1984,66 years 11 months,792
158,2017,1,2017-01,1985,67 years 07 months,804
159,2017,1,2017-01,1986,68 years,816
160,2017,1,2017-01,1985,67 years 02 months,804
161,2017,1,2017-01,1984,66 years 11 months,792
162,2017,1,2017-01,1985,67 years 02 months,804
163,2017,1,2017-01,1984,66 years 10 months,792
164,2017,1,2017-01,1998,80 years,960
165,2017,1,2017-01,1985,67 years 05 months,804
166,2017,1,2017-01,1987,69 years 08 months,828
167,2017,1,2017-01,1984,66 years 11 months,792
168,2017,1,2017-01,1984,66 years 11 months,792
169,2017,1,2017-01,1984,66 years 09 months,792
170,2017,1,2017-01,1985,67 years 10 months,804
171,2017,1,2017-01,1984,66 years 10 months,792
172,2017,1,2017-01,1985,67 years 09 months,804
173,2017,1,2017-01,1987,69 years 04 months,828
174,2017,1,2017-01,1998,80 years 01 month,960
175,2017,1,2017-01,1985,67 years 10 months,804
176,2017,1,2017-01,1985,67 years 06 months,804
177,2017,1,2017-01,1998,80 years 01 month,960
178,2017,1,2017-01,2004,86 years 08 months,1032
179,2017,1,2017-01,1989,71 years 06 months,852
180,2017,1,2017-01,1989,71 years 03 months,852
181,2017,1,2017-01,1985,67 years 02 months,804
182,2017,1,2017-01,1985,67 years 04 months,804
183,2017,1,2017-01,2004,86 years 11 months,1032
184,2017,1,2017-01,2004,86 years 10 months,1032
185,2017,1,2017-01,1997,79 years 05 months,948
186,2017,1,2017-01,1983,65 years 10 months,780
187,2017,1,2017-01,1985,67 years 03 months,804
188,2017,1,2017-01,2004,86 years 08 months,1032
189,2017,1,2017-01,1985,67 years 02 months,804
190,2017,1,2017-01,1997,79 years 05 months,948
191,2017,1,2017-01,1997,79 years 05 months,948
192,2017,1,2017-01,1998,80 years 01 month,960
193,2017,1,2017-01,1984,66 years 11 months,792
194,2017,1,2017-01,1985,67 years 03 months,804
195,2017,1,2017-01,1997,79 years 11 months,948
196,2017,1,2017-01,1971,53 years 06 months,636
197,2017,1,2017-01,1971,53 years 06 months,636
198,2017,1,2017-01,1976,58 years,696
199,2017,1,2017-01,1971,53 years 06 months,636
200,2017,1,2017-01,1975,57 years 02 months,684
201,2017,1,2017-01,1970,52 years 01 month,624
202,2017,1,2017-01,1976,58 years 04 months,696
203,2017,1,2017-01,1976,58 years 03 months,696
204,2017,1,2017-01,1979,61 years,732
205,2017,1,2017-01,1976,58 years,696
206,2017,1,2017-01,1969,51 years 06 months,612
207,2017,1,2017-01,1976,58 years 08 months,696
208,2017,1,2017-01,1979,61 years,732
209,2017,1,2017-01,1976,58 years 08 months,696
210,2017,1,2017-01,1974,56 years 02 months,672
211,2017,1,2017-01,1976,58 years,696
212,2017,1,2017-01,1976,58 years,696
213,2017,1,2017-01,1971,53 years 08 months,636
214,2017,1,2017-01,1982,64 years 08 months,768
215,2017,1,2017-01,1978,60 years,720
216,2017,1,2017-01,1973,55 years 06 months,660
217,2017,1,2017-01,1979,61 years 10 months,732
218,2017,1,2017-01,2013,95 years 07 months,1140
219,2017,1,2017-01,1973,55 years 01 month,660
220,2017,1,2017-01,1973,55 years,660
221,2017,1,2017-01,1973,55 years,660
222,2017,1,2017-01,2013,95 years 04 months,1140
223,2017,1,2017-01,1970,52 years 06 months,624
224,2017,1,2017-01,1975,57 years 04 months,684
225,2017,1,2017-01,1975,57 years,684
226,2017,1,2017-01,1985,67 years 02 months,804
227,2017,1,2017-01,1984,66 years 06 months,792
228,2017,1,2017-01,1976,58 years,696
229,2017,1,2017-01,2000,82 years 06 months,984
230,2017,1,2017-01,1997,79 years 05 months,948
231,2017,1,2017-01,1997,79 years 05 months,948
232,2017,1,2017-01,1985,67 years 08 months,804
233,2017,1,2017-01,1997,79 years,948
234,2017,1,2017-01,2013,95 years 08 months,1140
235,2017,1,2017-01,2013,95 years 07 months,1140
236,2017,1,2017-01,2013,95 years 07 months,1140
237,2017,1,2017-01,2008,90 years 11 months,1080
238,2017,1,2017-01,2005,87 years 11 months,1044
239,2017,1,2017-01,2005,87 years 10 months,1044
240,2017,1,2017-01,2008,90 years 11 months,1080
241,2017,1,2017-01,2008,90 years 11 months,1080
242,2017,1,2017-01,2013,95 years 04 months,1140
243,2017,1,2017-01,2013,95 years 07 months,1140
244,2017,1,2017-01,1975,57 years,684
245,2017,1,2017-01,2000,82 years 08 months,984
246,2017,1,2017-01,1986,68 years 06 months,816
247,2017,1,2017-01,1999,81 years 02 months,972
248,2017,1,2017-01,1984,66 years 06 months,792
249,2017,1,2017-01,1978,60 years 06 months,720
250,2017,1,2017-01,1974,56 years 05 months,672
251,2017,1,2017-01,1983,65 years 05 months,780
252,2017,1,2017-01,1988,70 years 09 months,840
253,2017,1,2017-01,1988,70 years 09 months,840
254,2017,1,2017-01,1989,71 years 01 month,852
255,2017,1,2017-01,2012,94 years 10 months,1128
256,2017,1,2017-01,1998,80 years 03 months,960
257,2017,1,2017-01,2001,83 years 11 months,996
258,2017,1,2017-01,1988,70 years 10 months,840
259,2017,1,2017-01,1989,71 years 02 months,852
260,2017,1,2017-01,1999,81 years 01 month,972
261,2017,1,2017-01,2001,83 years 11 months,996
262,2017,1,2017-01,1988,70 years 06 months,840
263,2017,1,2017-01,1988,70 years 09 months,840
264,2017,1,2017-01,2003,85 years,1020
265,2017,1,2017-01,1988,70 years 09 months,840
266,2017,1,2017-01,2003,85 years,1020
267,2017,1,2017-01,1999,81 years 05 months,972
268,2017,1,2017-01,1998,80 years 07 months,960
269,2017,1,2017-01,1987,69 years 05 months,828
270,2017,1,2017-01,1987,69 years 05 months,828
271,2017,1,2017-01,1998,80 years 10 months,960
272,2017,1,2017-01,2001,83 years 10 months,996
273,2017,1,2017-01,2001,83 years 11 months,996
274,2017,1,2017-01,1999,81 years 05 months,972
275,2017,1,2017-01,2004,86 years 09 months,1032
276,2017,1,2017-01,2012,94 years 10 months,1128
277,2017,1,2017-01,1997,79 years 09 months,948
278,2017,1,2017-01,1989,71 years 01 month,852
279,2017,1,2017-01,2002,84 years 10 months,1008
280,2017,1,2017-01,1988,70 years 09 months,840
281,2017,1,2017-01,1998,80 years 11 months,960
282,2017,1,2017-01,1999,81 years 05 months,972
283,2017,1,2017-01,1988,70 years 08 months,840
284,2017,1,2017-01,1988,70 years 11 months,840
285,2017,1,2017-01,2002,84 years 04 months,1008
286,2017,1,2017-01,2001,83 years 09 months,996
287,2017,1,2017-01,1999,81 years 04 months,972
288,2017,1,2017-01,1998,80 years 10 months,960
289,2017,1,2017-01,1998,80 years 10 months,960
290,2017,1,2017-01,1998,80 years 10 months,960
291,2017,1,2017-01,1997,79 years 07 months,948
292,2017,1,2017-01,2001,83 years 11 months,996
293,2017,1,2017-01,1999,81 years 03 months,972
294,2017,1,2017-01,2001,83 years 09 months,996
295,2017,1,2017-01,1988,70 years 01 month,840
296,2017,1,2017-01,1988,70 years 05 months,840
297,2017,1,2017-01,1988,70 years 07 months,840
298,2017,1,2017-01,1974,56 years 03 months,672
299,2017,1,2017-01,1988,70 years 06 months,840
300,2017,1,2017-01,1982,64 years,768
301,2017,1,2017-01,1984,66 years 05 months,792
302,2017,1,2017-01,1986,68 years 09 months,816
303,2017,1,2017-01,1983,65 years 03 months,780
304,2017,1,2017-01,1977,59 years 01 month,708
305,2017,1,2017-01,1979,61 years 02 months,732
306,2017,1,2017-01,1979,61 years 02 months,732
307,2017,1,2017-01,1980,62 years 04 months,744
308,2017,1,2017-01,2011,93 years,1116
309,2017,1,2017-01,2011,93 years,1116
310,2017,1,2017-01,2011,93 years,1116
311,2017,1,2017-01,2011,93 years,1116
312,2017,1,2017-01,1989,71 years 08 months,852
313,2017,1,2017-01,1989,71 years 08 months,852
314,2017,1,2017-01,1989,71 years 08 months,852
315,2017,1,2017-01,2000,82 years 03 months,984
316,2017,1,2017-01,1989,71 years 04 months,852
317,2017,1,2017-01,1993,75 years 05 months,900
318,2017,1,2017-01,2003,85 years 01 month,1020
319,2017,1,2017-01,1989,71 years 04 months,852
320,2017,1,2017-01,1992,74 years 06 months,888
321,2017,1,2017-01,1999,81 years 09 months,972
322,2017,1,2017-01,1996,78 years 06 months,936
323,2017,1,2017-01,1989,71 years 04 months,852
324,2017,1,2017-01,1990,72 years 08 months,864
325,2017,1,2017-01,1998,80 years 01 month,960
326,2017,1,2017-01,1993,75 years 05 months,900
327,2017,1,2017-01,1993,75 years 05 months,900
328,2017,1,2017-01,1990,72 years 03 months,864
329,2017,1,2017-01,1993,75 years 06 months,900
330,2017,1,2017-01,1992,74 years 06 months,888
331,2017,1,2017-01,1996,78 years 03 months,936
332,2017,1,2017-01,1999,81 years 04 months,972
333,2017,1,2017-01,1993,75 years 04 months,900
334,2017,1,2017-01,1996,78 years 03 months,936
335,2017,1,2017-01,1992,74 years 06 months,888
336,2017,1,2017-01,1998,80 years,960
337,2017,1,2017-01,1993,75 years 05 months,900
338,2017,1,2017-01,1992,74 years 06 months,888
339,2017,1,2017-01,1993,75 years 05 months,900
340,2017,1,2017-01,2000,82 years 01 month,984
341,2017,1,2017-01,2002,84 years 03 months,1008
342,2017,1,2017-01,2003,85 years 01 month,1020
343,2017,1,2017-01,2002,84 years 03 months,1008
344,2017,1,2017-01,1995,77 years 05 months,924
345,2017,1,2017-01,1995,77 years 07 months,924
346,2017,1,2017-01,2003,85 years 04 months,1020
347,2017,1,2017-01,1999,81 years 03 months,972
348,2017,1,2017-01,1993,75 years 05 months,900
349,2017,1,2017-01,1997,79 years 04 months,948
350,2017,1,2017-01,1996,78 years 09 months,936
351,2017,1,2017-01,2000,82 years 01 month,984
352,2017,1,2017-01,1999,81 years 06 months,972
353,2017,1,2017-01,1996,78 years,936
354,2017,1,2017-01,1999,81 years 05 months,972
355,2017,1,2017-01,1989,71 years 03 months,852
356,2017,1,2017-01,1981,63 years 08 months,756
357,2017,1,2017-01,1981,63 years 08 months,756
358,2017,1,2017-01,1980,62 years 08 months,744
359,2017,1,2017-01,1979,61 years 10 months,732
360,2017,1,2017-01,1981,63 years 07 months,756
361,2017,1,2017-01,1979,61 years 02 months,732
362,2017,1,2017-01,1984,66 years 11 months,792
363,2017,1,2017-01,1979,61 years 10 months,732
364,2017,1,2017-01,1978,60 years 08 months,720
365,2017,1,2017-01,1978,60 years 06 months,720
366,2017,1,2017-01,1980,62 years 08 months,744
367,2017,1,2017-01,1979,61 years 02 months,732
368,2017,1,2017-01,1978,60 years,720
369,2017,1,2017-01,1981,63 years 08 months,756
370,2017,1,2017-01,1980,62 years 05 months,744
371,2017,1,2017-01,2013,95 years 08 months,1140
372,2017,1,2017-01,1980,62 years 07 months,744
373,2017,1,2017-01,1981,63 years 08 months,756
374,2017,1,2017-01,1980,62 years 06 months,744
375,2017,1,2017-01,1983,65 years 09 months,780
376,2017,1,2017-01,1981,63 years 08 months,756
377,2017,1,2017-01,1979,61 years 02 months,732
378,2017,1,2017-01,1978,60 years 02 months,720
379,2017,1,2017-01,1978,60 years 01 month,720
380,2017,1,2017-01,1979,61 years 10 months,732
381,2017,1,2017-01,2006,88 years 10 months,1056
382,2017,1,2017-01,1981,63 years,756
383,2017,1,2017-01,1981,63 years,756
384,2017,1,2017-01,1971,53 years,636
385,2017,1,2017-01,1971,53 years,636
386,2017,1,2017-01,1973,55 years 06 months,660
387,2017,1,2017-01,1967,49 years,588
388,2017,1,2017-01,1967,49 years,588
389,2017,1,2017-01,1969,51 years,612
390,2017,1,2017-01,1969,51 years,612
391,2017,1,2017-01,1968,50 years 05 months,600
392,2017,1,2017-01,1972,54 years 11 months,648
393,2017,1,2017-01,1967,49 years,588
394,2017,1,2017-01,1967,49 years,588
395,2017,1,2017-01,1969,51 years,612
396,2017,1,2017-01,1973,55 years 06 months,660
397,2017,1,2017-01,1977,59 years 05 months,708
398,2017,1,2017-01,1969,51 years,612
399,2017,1,2017-01,2000,82 years 04 months,984
400,2017,1,2017-01,1976,58 years 06 months,696
401,2017,1,2017-01,1969,51 years,612
402,2017,1,2017-01,1971,53 years,636
403,2017,1,2017-01,1976,58 years 06 months,696
404,2017,1,2017-01,1983,65 years 07 months,780
405,2017,1,2017-01,2007,89 years,1068
406,2017,1,2017-01,1985,67 years 07 months,804
407,2017,1,2017-01,1990,72 years 05 months,864
408,2017,1,2017-01,1985,67 years 02 months,804
409,2017,1,2017-01,1990,72 years 03 months,864
410,2017,1,2017-01,1996,78 years 05 months,936
411,2017,1,2017-01,1982,64 years 04 months,768
412,2017,1,2017-01,1976,58 years 07 months,696
413,2017,1,2017-01,1986,68 years 10 months,816
414,2017,1,2017-01,1984,66 years 09 months,792
415,2017,1,2017-01,1998,80 years 05 months,960
416,2017,1,2017-01,2012,94 years 04 months,1128
417,2017,1,2017-01,1978,60 years 04 months,720
418,2017,1,2017-01,1987,69 years,828
419,2017,1,2017-01,1978,60 years 05 months,720
420,2017,1,2017-01,1984,66 years 03 months,792
421,2017,1,2017-01,1985,67 years 09 months,804
422,2017,1,2017-01,1985,67 years 06 months,804
423,2017,1,2017-01,1983,65 years 04 months,780
424,2017,1,2017-01,1986,68 years 04 months,816
425,2017,1,2017-01,1986,68 years 09 months,816
426,2017,1,2017-01,1986,68 years 09 months,816
427,2017,1,2017-01,1983,65 years,780
428,2017,1,2017-01,1978,60 years 04 months,720
429,2017,1,2017-01,1983,65 years 02 months,780
430,2017,1,2017-01,1983,65 years 09 months,780
431,2017,1,2017-01,1984,66 years 11 months,792
432,2017,1,2017-01,1985,67 years 10 months,804
433,2017,1,2017-01,1989,71 years 07 months,852
434,2017,1,2017-01,1993,75 years 03 months,900
435,2017,1,2017-01,1985,67 years 05 months,804
436,2017,1,2017-01,1983,65 years 01 month,780
437,2017,1,2017-01,1985,67 years 07 months,804
438,2017,1,2017-01,1985,67 years 06 months,804
439,2017,1,2017-01,1987,69 years,828
440,2017,1,2017-01,1997,79 years 10 months,948
441,2017,1,2017-01,1983,65 years 04 months,780
442,2017,1,2017-01,1985,67 years 03 months,804
443,2017,1,2017-01,1989,71 years 06 months,852
444,2017,1,2017-01,1998,80 years,960
445,2017,1,2017-01,1991,73 years 04 months,876
446,2017,1,2017-01,1998,80 years 10 months,960
447,2017,1,2017-01,1984,66 years 09 months,792
448,2017,1,2017-01,1990,72 years 03 months,864
449,2017,1,2017-01,1986,68 years,816
450,2017,1,2017-01,1986,68 years,816
451,2017,1,2017-01,1990,72 years 04 months,864
452,2017,1,2017-01,1984,66 years 11 months,792
453,2017,1,2017-01,1992,74 years 08 months,888
454,2017,1,2017-01,1992,74 years 09 months,888
455,2017,1,2017-01,1992,74 years 08 months,888
456,2017,1,2017-01,1998,80 years 02 months,960
457,2017,1,2017-01,1997,79 years 10 months,948
458,2017,1,2017-01,1999,81 years 10 months,972
459,2017,1,2017-01,1998,80 years 01 month,960
460,2017,1,2017-01,2004,86 years 05 months,1032
461,2017,1,2017-01,2003,85 years 06 months,1020
462,2017,1,2017-01,1997,79 years 01 month,948
463,2017,1,2017-01,1998,80 years 01 month,960
464,2017,1,2017-01,1998,80 years 01 month,960
465,2017,1,2017-01,1997,79 years 05 months,948
466,2017,1,2017-01,1998,80 years 07 months,960
467,2017,1,2017-01,1997,79 years 10 months,948
468,2017,1,2017-01,1986,68 years 07 months,816
469,2017,1,2017-01,1999,81 years 04 months,972
470,2017,1,2017-01,1998,80 years 06 months,960
471,2017,1,2017-01,1992,74 years 09 months,888
472,2017,1,2017-01,1998,80 years,960
473,2017,1,2017-01,1984,66 years 11 months,792
474,2017,1,2017-01,1992,74 years 08 months,888
475,2017,1,2017-01,1999,81 years 10 months,972
476,2017,1,2017-01,1992,74 years 08 months,888
477,2017,1,2017-01,1998,80 years 01 month,960
478,2017,1,2017-01,1992,74 years 11 months,888
479,2017,1,2017-01,1986,68 years 07 months,816
480,2017,1,2017-01,1986,68 years 08 months,816
481,2017,1,2017-01,1986,68 years 05 months,816
482,2017,1,2017-01,1979,61 years 05 months,732
483,2017,1,2017-01,1966,48 years 09 months,576
484,2017,1,2017-01,1983,65 years 05 months,780
485,2017,1,2017-01,1986,68 years 05 months,816
486,2017,1,2017-01,1981,63 years 05 months,756
487,2017,1,2017-01,1979,61 years 04 months,732
488,2017,1,2017-01,1983,65 years 06 months,780
489,2017,1,2017-01,1983,65 years 03 months,780
490,2017,1,2017-01,1979,61 years 04 months,732
491,2017,1,2017-01,1985,67 years 05 months,804
492,2017,1,2017-01,1983,65 years 03 months,780
493,2017,1,2017-01,1985,67 years 05 months,804
494,2017,1,2017-01,1981,63 years 04 months,756
495,2017,1,2017-01,1983,65 years 02 months,780
496,2017,1,2017-01,1983,65 years 03 months,780
497,2017,1,2017-01,1983,65 years 05 months,780
498,2017,1,2017-01,2003,85 years 06 months,1020
499,2017,1,2017-01,1984,66 years 04 months,792
500,2017,1,2017-01,1981,63 years 05 months,756
501,2017,1,2017-01,1998,80 years 10 months,960
502,2017,1,2017-01,1985,67 years 01 month,804
503,2017,1,2017-01,1983,65 years 05 months,780
504,2017,1,2017-01,1984,66 years 07 months,792
505,2017,1,2017-01,2013,95 years 09 months,1140
506,2017,1,2017-01,1998,80 years 09 months,960
507,2017,1,2017-01,2013,95 years 08 months,1140
508,2017,1,2017-01,1999,81 years 03 months,972
509,2017,1,2017-01,1999,81 years 01 month,972
510,2017,1,2017-01,2000,82 years 02 months,984
511,2017,1,2017-01,1998,80 years 09 months,960
512,2017,1,2017-01,1984,66 years 10 months,792
513,2017,1,2017-01,1979,61 years 09 months,732
514,2017,1,2017-01,1981,63 years 08 months,756
515,2017,1,2017-01,1984,66 years 06 months,792
516,2017,1,2017-01,1984,66 years 05 months,792
517,2017,1,2017-01,1986,68 years 06 months,816
518,2017,1,2017-01,2008,90 years 07 months,1080
519,2017,1,2017-01,2008,90 years 07 months,1080
520,2017,1,2017-01,1975,57 years 09 months,684
521,2017,1,2017-01,1972,54 years,648
522,2017,1,2017-01,1978,60 years 06 months,720
523,2017,1,2017-01,1971,53 years 05 months,636
524,2017,1,2017-01,1978,60 years 06 months,720
525,2017,1,2017-01,1972,54 years,648
526,2017,1,2017-01,1988,70 years 06 months,840
527,2017,1,2017-01,1985,67 years 05 months,804
528,2017,1,2017-01,1989,71 years 04 months,852
529,2017,1,2017-01,1988,70 years 06 months,840
530,2017,1,2017-01,1989,71 years,852
531,2017,1,2017-01,1976,58 years 10 months,696
532,2017,1,2017-01,1988,70 years 07 months,840
533,2017,1,2017-01,1983,65 years 06 months,780
534,2017,1,2017-01,1983,65 years 07 months,780
535,2017,1,2017-01,1983,65 years 07 months,780
536,2017,1,2017-01,1984,66 years 10 months,792
537,2017,1,2017-01,1984,66 years 02 months,792
538,2017,1,2017-01,1984,66 years 04 months,792
539,2017,1,2017-01,1982,64 years 03 months,768
540,2017,1,2017-01,1990,72 years 02 months,864
541,2017,1,2017-01,2001,83 years 04 months,996
542,2017,1,2017-01,1996,78 years 07 months,936
543,2017,1,2017-01,2002,84 years 01 month,1008
544,2017,1,2017-01,1995,77 years 05 months,924
545,2017,1,2017-01,1996,78 years 08 months,936
546,2017,1,2017-01,1990,72 years 10 months,864
547,2017,1,2017-01,2001,83 years 11 months,996
548,2017,1,2017-01,1989,71 years 03 months,852
549,2017,1,2017-01,1996,78 years 03 months,936
550,2017,1,2017-01,1989,71 years 11 months,852
551,2017,1,2017-01,1993,76 years,912
552,2017,1,2017-01,1996,78 years 02 months,936
553,2017,1,2017-01,1989,71 years 05 months,852
554,2017,1,2017-01,1990,72 years 07 months,864
555,2017,1,2017-01,1993,75 years 05 months,900
556,2017,1,2017-01,1996,78 years 08 months,936
557,2017,1,2017-01,1985,67 years 02 months,804
558,2017,1,2017-01,1989,71 years 04 months,852
559,2017,1,2017-01,1993,76 years,912
560,2017,1,2017-01,2001,83 years 03 months,996
561,2017,1,2017-01,1996,78 years 08 months,936
562,2017,1,2017-01,1984,66 years 07 months,792
563,2017,1,2017-01,1985,67 years,804
564,2017,1,2017-01,1990,72 years 10 months,864
565,2017,1,2017-01,1995,77 years 05 months,924
566,2017,1,2017-01,1985,67 years 05 months,804
567,2017,1,2017-01,1990,72 years 11 months,864
