month,month_no,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2011-04,04,2,2,423,422,627,56801
2011-04,04,2,3,277,269,346,23900
2011-04,04,2,4,326,326,478,2502
2011-04,04,2,5,330,329,484,56001
2011-05,05,1,1,511,511,944,44790
2011-05,05,1,2,439,439,650,56011
2011-05,05,1,3,277,277,366,21889
2011-05,05,1,4,330,328,481,2253
2011-05,05,1,5,330,321,498,56490
2011-05,05,2,1,523,521,760,46989
2011-05,05,2,2,424,424,564,56300
2011-05,05,2,3,283,279,381,22989
2011-05,05,2,4,326,324,486,2013
2011-05,05,2,5,331,322,470,56889
2011-06,06,1,1,510,506,880,53390
2011-06,06,1,2,424,403,759,63000
2011-06,06,1,3,276,276,457,29006
2011-06,06,1,4,327,327,507,2491
2011-06,06,1,5,338,295,530,62000
2011-06,06,2,1,512,512,715,50244
2011-06,06,2,2,423,410,684,67700
2011-06,06,2,3,279,270,391,31089
2011-06,06,2,4,328,322,367,2290
2011-06,06,2,5,339,334,468,65490
2011-07,07,1,1,514,497,839,55989
2011-07,07,1,2,445,444,728,68501
2011-07,07,1,3,276,276,375,32590
2011-07,07,1,4,325,323,369,2360
2011-07,07,1,5,372,342,509,68811
2011-07,07,2,1,510,501,776,56002
2011-07,07,2,2,436,436,626,72501
2011-07,07,2,3,284,281,393,34502
2011-07,07,2,4,332,332,496,2012
2011-07,07,2,5,335,328,459,74490
2011-08,08,1,1,566,566,1034,48801
2011-08,08,1,2,354,349,469,70890
2011-08,08,1,3,241,239,383,34009
2011-08,08,1,4,390,390,470,1890
2011-08,08,1,5,360,360,488,70117
2011-08,08,2,1,557,557,927,49301
2011-08,08,2,2,353,353,527,65521
2011-08,08,2,3,245,237,367,32289
2011-08,08,2,4,387,382,471,1999
2011-08,08,2,5,337,335,516,67000
2011-09,09,1,1,548,547,794,51000
2011-09,09,1,2,359,356,496,63002
2011-09,09,1,3,243,236,328,31900
2011-09,09,1,4,388,382,532,2339
2011-09,09,1,5,330,329,466,65589
2011-09,09,2,1,548,531,951,48006
2011-09,09,2,2,353,353,469,64889
2011-09,09,2,3,250,248,325,30089
2011-09,09,2,4,392,392,492,2109
2011-09,09,2,5,332,332,449,62502
2011-10,10,1,1,549,549,793,50289
2011-10,10,1,2,356,353,524,63600
2011-10,10,1,3,249,247,348,32801
2011-10,10,1,4,394,394,486,2078
2011-10,10,1,5,331,331,452,65058
2011-10,10,2,1,565,554,873,56112
2011-10,10,2,2,353,353,633,75889
2011-10,10,2,3,244,229,354,37011
2011-10,10,2,4,387,380,486,2091
2011-10,10,2,5,330,306,518,73600
2011-11,11,1,1,548,547,766,55997
2011-11,11,1,2,356,355,551,77000
2011-11,11,1,3,244,244,365,40803
2011-11,11,1,4,388,359,429,2012
2011-11,11,1,5,330,311,507,78001
2011-11,11,2,1,559,541,756,54887
2011-11,11,2,2,353,338,518,77340
2011-11,11,2,3,256,248,335,40189
2011-11,11,2,4,394,389,469,1889
2011-11,11,2,5,355,352,496,75889
2011-12,12,1,1,549,543,781,52392
2011-12,12,1,2,354,351,474,72350
2011-12,12,1,3,242,242,334,40009
2011-12,12,1,4,416,415,451,1902
2011-12,12,1,5,349,335,489,74340
2011-12,12,2,1,566,457,878,50001
2011-12,12,2,2,368,368,464,70003
2011-12,12,2,3,249,249,361,39589
2011-12,12,2,4,392,386,456,1481
2011-12,12,2,5,334,285,521,71000
2012-01,01,1,1,554,554,901,46889
2012-01,01,1,2,356,356,511,65801
2012-01,01,1,3,242,239,357,38699
2012-01,01,1,4,388,386,434,1682
2012-01,01,1,5,344,341,530,65700
2012-01,01,2,1,657,652,903,48112
2012-01,01,2,2,353,351,537,67889
2012-01,01,2,3,241,236,405,44001
2012-01,01,2,4,393,390,517,1552
2012-01,01,2,5,380,375,538,67101
2012-02,02,1,1,619,571,1058,52809
2012-02,02,1,2,350,346,635,73890
2012-02,02,1,3,162,158,307,49801
